voting_ID	date	time	title
1418309694	 11.12.2014	14:54:54	Поіменне голосування  про проект Постанови про зміни в адміністративно-територіальному устрої Донецької області, зміну і встановлення меж Волноваського, Новоазовського та Тельманівського районів Донецької області (№1283) - за основу та в цілому
1418309794	 11.12.2014	14:56:34	"Поіменне голосування  про повернення до розгляду проекту Постанови про внесення змін до Постанови Верховної Ради України ""Про обрання голів, перших заступників, заступників голів, секретарів, членів комітетів Верховної Ради України восьмого скликання"" (№1291) "
1418310345	 11.12.2014	15:05:45	"Поіменне голосування  про пропозицію народного депутата Україна Найєма М. до проекту Постанови про внесення змін до Постанови Верховної Ради України ""Про обрання голів, перших заступників, заступників голів, секретарів, членів комітетів Верховної Ради України восьмого скликання"" (№1291) "
1418310384	 11.12.2014	15:06:24	"Поіменне голосування  про проект Постанови про внесення змін до Постанови Верховної Ради України ""Про обрання голів, перших заступників, заступників голів, секретарів, членів комітетів Верховної Ради України восьмого скликання"" (№1291) - за основу та в цілому"
1419332087	 23.12.2014	10:54:47	"Поіменне голосування  про поправку №6 народного депутата України Сироїд О.І.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) "
1419332191	 23.12.2014	10:56:31	"Поіменне голосування  про поправку №7 народного депутата України Сотник О.С.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) "
1419332258	 23.12.2014	10:57:38	"Поіменне голосування  про поправку №8 народного депутата України Веселової Н.В.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) "
1419332557	 23.12.2014	11:02:37	"Поіменне голосування  про поправку №14 народного депутата України Крулька І.І.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) "
1419332726	 23.12.2014	11:05:26	"Поіменне голосування  про поправку №16 народного депутата України Сироїд О.І.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) "
1419332876	 23.12.2014	11:07:56	"Поіменне голосування  про поправку №17 народного депутата України Сотник О.С.  до проекту Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343)"
